City,ID,Country,latitude,longitude,Date,Temperature,Cloudiness,Humidity,Wind Speed
angoche,1052944,MZ,-16.23,39.91,1588348098,299.04,0,75,4.0
lander,5830007,US,42.83,-108.73,1588348100,287.27,20,50,1.5
port lincoln,2063036,AU,-34.73,135.87,1588348101,288.1,83,75,8.46
eunice,4323900,US,30.49,-92.42,1588348102,296.49,1,69,3.1
rundu,3353383,NA,-17.93,19.77,1588348103,298.15,0,15,1.0
marquette,5000950,US,46.53,-87.63,1588348104,288.15,5,26,4.6
acapulco,3533462,MX,16.86,-99.89,1588348080,302.15,20,42,2.1
zemio,235826,CF,5.03,25.14,1588348107,298.94,88,67,2.64
isangel,2136825,VU,-19.55,169.27,1588348108,297.49,5,84,4.76
chuy,3443061,UY,-33.7,-53.46,1588348109,291.8,23,61,4.92
caceres,2520610,ES,39.52,-6.37,1588348110,295.93,100,64,2.24
xai-xai,1024552,MZ,-25.05,33.64,1588348112,294.85,0,84,3.09
houston,4699066,US,29.76,-95.36,1588347349,298.65,20,50,4.1
brae,2654970,GB,60.4,-1.35,1588348114,282.15,100,87,8.2
presidencia roque saenz pena,3840300,AR,-26.79,-60.44,1588348115,290.59,97,79,2.03
apodi,3407440,BR,-5.66,-37.8,1588348116,304.34,70,58,3.33
anadyr,2127202,RU,64.75,177.48,1588348118,263.15,75,92,1.0
cervo,3125287,ES,43.67,-7.41,1588348119,290.37,97,88,6.26
sinnamary,3380290,GF,5.38,-52.95,1588348120,299.64,100,88,5.4
dossor,610023,KZ,47.53,52.98,1588348121,294.23,24,26,5.01
biltine,244878,TD,14.53,20.92,1588348122,313.75,3,6,3.51
namatanai,2090021,PG,-3.67,152.43,1588348124,299.75,76,82,1.6
moose factory,6078372,CA,51.26,-80.61,1588348125,281.15,1,42,3.1
oranjemund,3354071,NA,-28.55,16.43,1588348127,295.15,93,36,7.08
elat,295277,IL,29.56,34.95,1588348128,306.15,0,17,6.2
ust-tsilma,477940,RU,65.44,52.15,1588348129,273.62,98,95,1.77
san patricio,3985168,MX,19.22,-104.7,1588348130,299.15,20,78,2.63
petropavlovsk-kamchatskiy,2122104,RU,53.05,158.65,1588347892,274.15,90,100,3.0
tual,1623197,ID,-5.67,132.75,1588348133,301.06,100,77,2.75
pevek,2122090,RU,69.7,170.31,1588348134,265.3,46,91,3.73
torre-pacheco,2510271,ES,37.74,-0.95,1588348135,301.15,0,44,7.2
zyryanka,2119283,RU,65.75,150.85,1588348136,269.6,84,97,1.21
mwene-ditu,207570,CD,-7.0,23.45,1588348138,296.56,83,65,1.03
vangaindrano,1054329,MG,-23.35,47.6,1588348139,296.18,40,84,3.24
high level,5975004,CA,58.52,-117.14,1588348140,277.15,75,86,5.1
ribeira grande,3372707,PT,38.52,-28.7,1588348141,291.15,40,88,7.2
mahebourg,934322,MU,-20.41,57.7,1588348143,298.15,40,65,5.7
ornskoldsvik,2686469,SE,63.29,18.72,1588348144,278.15,90,60,3.1
aginskoye,2028078,RU,51.1,114.53,1588348145,284.15,91,34,6.02
olafsvik,3414079,IS,64.89,-23.71,1588348147,275.41,75,79,5.82
nantucket,4944903,US,41.28,-70.1,1588348148,284.38,90,93,13.4
srandakan,1626493,ID,-7.94,110.25,1588348149,298.8,77,83,2.64
ulaangom,1515029,MN,49.98,92.07,1588348150,284.14,53,37,0.54
mayor pablo lagerenza,3867427,PY,-19.93,-60.77,1588348151,296.78,98,79,3.13
kavaratti,1267390,IN,10.57,72.64,1588348153,302.82,18,71,5.07
comodoro rivadavia,3860443,AR,-45.87,-67.5,1588347988,288.15,100,51,3.6
dunedin,2191562,NZ,-45.87,170.5,1588347857,284.77,41,42,0.45
nouadhibou,2377457,MR,20.93,-17.03,1588348102,301.15,0,42,5.7
camas,2520477,ES,37.4,-6.03,1588348157,300.76,50,42,1.5
arroio grande,3471422,BR,-32.24,-53.09,1588348158,289.22,0,76,4.73
balsas,3406545,BR,-7.53,-46.04,1588347947,304.63,65,52,3.01
barcelos,2742416,PT,41.54,-8.62,1588348063,289.37,75,93,5.1
longkou,1802550,CN,37.65,120.33,1588348162,293.48,8,64,6.63
wausau,5278120,US,44.96,-89.63,1588348163,286.83,75,50,3.6
riverton,5780557,US,40.52,-111.94,1588348165,286.97,90,87,3.1
amalapuram,1278935,IN,16.58,82.02,1588348166,301.72,23,82,2.2
fort nelson,5955902,CA,58.81,-122.7,1588348167,276.15,20,74,0.97
morwa,1262734,IN,22.9,73.83,1588348168,308.15,44,18,4.86
kudahuvadhoo,1337607,MV,2.67,72.89,1588348169,303.02,57,75,5.1
wasilla,5877641,US,61.58,-149.44,1588348171,275.25,1,69,2.1
kieta,2094027,PG,-6.22,155.63,1588348172,299.64,24,78,1.99
gizo,2108857,SB,-8.1,156.84,1588348173,301.63,83,78,3.78
harlingen,4696233,US,26.19,-97.7,1588348174,301.17,1,48,7.2
adamas,265711,GR,36.73,24.43,1588348176,295.15,0,46,6.2
saskylakh,2017155,RU,71.92,114.08,1588348177,267.24,95,96,6.09
hambantota,1244926,LK,6.12,81.12,1588347903,301.04,73,83,5.48
huarmey,3939168,PE,-10.07,-78.15,1588348179,297.49,2,63,4.04
lubbock,5525584,US,33.6,-101.83,1588348180,297.07,75,37,6.7
mecca,104515,SA,21.43,39.83,1588348048,303.25,0,18,5.52
ust-maya,2013918,RU,60.42,134.53,1588348183,272.08,100,96,3.83
basoko,219414,CD,1.24,23.62,1588348184,297.5,100,78,2.73
cockburn town,3576994,TC,21.46,-71.14,1588348185,300.02,63,79,7.29
chingola,919009,ZM,-12.53,27.88,1588348186,292.13,2,60,2.31
acari,3948613,PE,-15.43,-74.62,1588348187,299.37,63,45,3.86
palmer,4946620,US,42.16,-72.33,1588348189,287.89,90,87,1.5
adre,245669,TD,13.47,22.2,1588348190,310.97,0,7,3.91
bathsheba,3374083,BB,13.22,-59.52,1588348191,303.15,75,62,10.3
nago,1856068,JP,26.59,127.98,1588348192,295.03,90,94,4.1
tautira,4033557,PF,-17.73,-149.15,1588348193,298.15,20,83,1.0
tenenkou,2449938,ML,14.46,-4.92,1588348195,315.35,40,12,1.1
mount isa,2065594,AU,-20.73,139.5,1588348196,287.15,83,33,3.1
zhangye,1785036,CN,38.93,100.45,1588348198,291.15,0,12,1.79
hope,4115181,US,33.67,-93.59,1588347931,294.26,74,56,1.34
portoferraio,3170094,IT,42.81,10.31,1588348200,292.15,75,52,1.0
road town,3577430,VG,18.42,-64.62,1588348065,302.15,40,70,5.1
port alberni,6111632,CA,49.24,-124.8,1588347926,281.2,60,91,0.89
lebedyn,613273,UA,50.59,34.48,1588348204,289.55,45,75,1.65
barinas,3648546,VE,8.62,-70.21,1588347964,303.58,90,53,4.44
coahuayana,4013679,MX,18.73,-103.68,1588348206,300.15,40,39,1.26
ukiah,5404476,US,39.15,-123.21,1588348208,282.69,1,65,1.79
ipameri,3461151,BR,-17.72,-48.16,1588348209,298.32,0,44,1.1
basna,1276756,IN,21.28,82.82,1588348211,305.94,6,21,1.95
bartica,3379507,GY,6.4,-58.62,1588348212,299.15,75,94,3.1
belmonte,3470137,BR,-15.86,-38.88,1588348213,301.15,75,74,3.1
trincomalee,1226260,LK,8.57,81.23,1588348214,302.47,17,75,2.27
soyaux,2973882,FR,45.65,0.2,1588348215,288.54,100,93,7.2
solnechnyy,2016307,RU,50.72,136.63,1588348216,283.17,100,78,5.38
klaksvik,2618795,FO,62.23,-6.59,1588348218,283.15,40,43,5.1
halifax,6324729,CA,44.65,-63.57,1588348050,283.62,100,57,1.34
vung tau,1562414,VN,10.35,107.08,1588348220,301.09,58,78,7.33
yerbogachen,2012956,RU,61.28,108.01,1588348222,270.15,0,85,1.01
pavlikeni,728385,BG,43.24,25.32,1588348223,291.6,100,60,1.5
walvis bay,3359638,NA,-22.96,14.51,1588348224,295.29,0,46,7.05
sao joao do piaui,3388618,BR,-8.36,-42.25,1588348225,303.65,81,58,2.93
acarau,3408368,BR,-2.89,-40.12,1588348227,301.77,77,80,4.41
udarnyy,826996,RU,54.34,42.86,1588348228,277.43,96,89,3.62
laguna,5364271,US,38.42,-121.42,1588348206,286.43,1,50,2.1
henties bay,3356832,NA,-22.12,14.28,1588348230,294.4,0,51,6.04
kokopo,2093685,PG,-4.35,152.26,1588348231,298.59,25,84,2.49
lasa,3175096,IT,46.62,10.7,1588348232,282.15,75,66,2.6
segovia,3109254,ES,41.17,-4.0,1588348234,293.15,85,38,0.89
kenai,5866063,US,60.55,-151.26,1588348235,273.88,90,86,3.23
jinchang,1805733,CN,38.5,102.17,1588348236,291.42,0,11,1.24
sokolo,2450849,ML,14.73,-6.12,1588348237,316.33,7,9,3.1
vulcan,662432,RO,45.38,23.27,1588348239,285.53,100,64,1.24
killorglin,2963311,IE,52.1,-9.78,1588348240,285.15,40,58,4.6
tarakan,1624725,ID,3.3,117.63,1588348241,301.75,98,73,3.27
beisfjord,3144987,NO,68.38,17.6,1588348242,276.87,1,42,2.6
rettikhovka,2017452,RU,44.17,132.77,1588348243,285.94,91,86,3.55
san policarpo,1688696,PH,12.18,125.51,1588348245,300.43,75,82,4.53
nampula,1033356,MZ,-15.12,39.27,1588348246,295.14,16,86,1.77
huron,5158275,US,41.15,-82.55,1588348247,281.17,100,83,1.34
terrace,6162949,CA,54.52,-128.6,1588348199,277.15,75,80,4.1
hualmay,3939761,PE,-11.1,-77.61,1588348249,296.65,1,65,3.89
haines junction,5969025,CA,60.75,-137.51,1588348251,274.73,100,65,1.85
labuhan,8079926,ID,-6.88,112.21,1588348253,299.04,85,86,3.34
byron bay,2172880,AU,-28.65,153.62,1588347795,285.81,0,58,6.2
pankrushikha,1495613,RU,53.83,80.34,1588348255,286.21,98,67,6.23
hobyo,57000,SO,5.35,48.53,1588348256,303.66,100,70,7.88
miraflores,3761194,MX,19.22,-98.81,1588348257,289.4,5,55,1.3
camopi,3382226,GF,3.17,-52.32,1588348259,300.66,85,90,2.1
santa marta,3668605,CO,11.24,-74.2,1588348260,304.15,40,74,3.1
alihe,2038665,CN,50.57,123.72,1588348262,285.71,6,33,4.48
kanel,2250849,SN,15.49,-13.18,1588348263,318.39,0,7,4.85
qaqortoq,3420846,GL,60.72,-46.03,1588348264,280.15,20,39,3.1
pandaria,1260556,IN,22.23,81.42,1588348265,304.68,0,14,2.05
marienburg,3092472,PL,54.04,19.03,1588348267,285.01,100,100,2.94
kholtoson,2022369,RU,50.3,103.31,1588348268,281.98,100,60,3.26
pafos,146214,CY,34.77,32.42,1588348269,292.15,40,72,5.7
chojnice,3101672,PL,53.7,17.56,1588348271,285.37,100,79,5.36
matara,1235846,LK,5.95,80.54,1588348272,300.65,94,85,3.57
srednekolymsk,2121025,RU,67.45,153.68,1588348274,270.24,100,97,3.18
ettaiyapuram,1271984,IN,9.14,77.99,1588348275,305.27,32,53,2.99
quatre cocos,1106643,MU,-20.21,57.76,1588348276,297.85,40,65,5.7
caninde de sao francisco,3403344,BR,-9.66,-37.79,1588348277,302.15,40,74,3.1
awbari,2219235,LY,26.59,12.78,1588348278,303.59,99,11,4.56
portsmouth,2639996,GB,50.8,-1.09,1588348206,288.01,9,64,5.36
petrivka,697450,UA,46.97,30.96,1588348281,287.15,69,82,5.0
korla,1529376,CN,41.76,86.15,1588348282,294.88,98,25,8.91
cairns,2172797,AU,-16.92,145.77,1588348283,294.41,93,88,4.1
butka,1508589,RU,56.72,63.79,1588348285,279.35,37,63,1.95
chapais,5919850,CA,49.78,-74.85,1588348286,276.15,90,93,3.6
shipitsyno,494304,RU,61.28,46.52,1588348288,274.79,99,85,2.67
alyangula,2079582,AU,-13.85,136.42,1588348289,295.15,80,78,8.29
sept-iles,6144312,CA,50.2,-66.38,1588348046,276.59,90,93,5.7
fare,4034496,PF,-16.7,-151.02,1588348291,301.63,40,72,3.62
merauke,2082539,ID,-8.47,140.33,1588348293,300.01,100,85,4.92
celestun,3531368,MX,20.87,-90.4,1588348294,301.38,95,56,3.57
faya,110690,SA,18.39,42.45,1588348295,297.15,40,60,6.2
nhulunbuy,2064735,AU,-12.23,136.77,1588348297,300.15,90,69,6.7
grand-santi,3381538,GF,4.25,-54.38,1588348298,300.49,86,88,2.22
wajir,178443,KE,1.75,40.06,1588348299,301.26,100,65,4.54
andilamena,1076194,MG,-17.02,48.58,1588348301,290.18,87,73,2.88
olinda,3393536,BR,-8.01,-34.86,1588348302,303.15,40,74,4.1
le locle,2659960,CH,47.06,6.75,1588348303,283.88,90,93,7.7
tura,1254046,IN,25.52,90.22,1588348304,297.21,62,56,1.02
cobija,3919998,BO,-11.03,-68.77,1588348306,305.13,82,51,1.51
cradock,1012600,ZA,-32.16,25.62,1588348307,290.49,100,25,0.61
maragogi,3395458,BR,-9.01,-35.22,1588348308,302.21,99,68,3.6
chara,2025630,RU,56.91,118.26,1588348310,270.35,7,73,2.55
port augusta,2063056,AU,-32.5,137.77,1588348311,285.16,19,87,5.1
komsomolskiy,1513491,UZ,40.43,71.72,1588348312,296.15,100,38,3.1
mattru,2409215,SL,7.62,-11.83,1588348313,304.87,98,62,1.3
krasnoturinsk,1502061,RU,59.77,60.21,1588348314,276.6,85,76,2.67
arlit,2447513,NE,18.74,7.39,1588348316,316.95,72,5,4.88
muli,1337617,MV,2.92,73.57,1588348317,302.97,40,76,4.72
otradnoye,513898,RU,59.78,30.82,1588348318,280.75,2,34,8.0
kashi,1280849,CN,39.45,75.98,1588348320,297.15,75,15,3.0
camacha,2270385,PT,33.08,-16.33,1588348321,294.15,20,73,4.1
emerald,2167426,AU,-23.53,148.17,1588348322,285.81,0,43,2.1
panzhihua,6929460,CN,26.59,101.71,1588348324,290.37,62,61,2.37
pacific grove,5380437,US,36.62,-121.92,1588348325,286.45,1,47,1.5
buala,2109528,SB,-8.14,159.59,1588348326,300.81,44,81,2.42
nosy varika,1058080,MG,-20.58,48.53,1588348328,296.93,45,81,1.27
zhigansk,2012530,RU,66.77,123.37,1588348329,265.04,98,94,3.88
ngatea,2186152,NZ,-37.28,175.5,1588348330,285.18,37,92,0.89
loandjili,2258378,CG,-4.76,11.86,1588348331,301.15,40,83,3.1
sao joao da barra,3448903,BR,-21.64,-41.05,1588348155,302.16,0,45,2.1
mayo,4362001,US,38.89,-76.51,1588348334,285.58,90,93,2.6
tsivilsk,480851,RU,55.86,47.47,1588348335,277.15,40,93,3.0
manicore,3663503,BR,-5.81,-61.3,1588348336,302.15,20,79,3.6
ahipara,2194098,NZ,-35.17,173.17,1588348337,289.38,8,82,4.9
bulawayo,894701,ZW,-20.15,28.58,1588348338,295.11,0,24,3.85
abha,110690,SA,18.22,42.51,1588348340,297.08,40,60,6.2
san andres,3670218,CO,12.58,-81.7,1588348231,303.15,40,66,6.2
macenta,2417988,GN,8.54,-9.47,1588348342,307.94,20,35,0.65
vao,2137773,NC,-22.67,167.48,1588348343,297.92,1,78,8.18
canico,2270258,PT,32.63,-16.85,1588348345,292.55,20,68,4.6
itaituba,3397967,BR,-4.28,-55.98,1588348346,304.15,40,70,2.6
makakilo city,5850554,US,21.35,-158.09,1588348347,295.84,1,64,4.1
fort morgan,5577158,US,40.25,-103.8,1588348219,296.15,1,27,6.04
natitingou,2392601,BJ,10.3,1.38,1588348350,308.15,20,50,4.1
bunia,217695,CD,1.57,30.25,1588348351,294.42,23,51,0.44
sangar,2017215,RU,63.92,127.47,1588348352,267.74,100,96,3.27
carnduff,5917349,CA,49.17,-101.8,1588348353,287.68,98,63,9.94
cajuru,3468121,BR,-21.28,-47.3,1588348347,301.15,20,39,2.1
bulgan,2032201,MN,48.81,103.53,1588348355,285.1,77,58,1.9
najran,103630,SA,17.49,44.13,1588348354,307.15,40,23,4.1
togur,1489499,RU,58.36,82.83,1588348358,282.12,79,89,3.04
mopti,2453347,ML,14.67,-4.0,1588348359,314.15,25,19,8.2
puri,1259184,IN,19.8,85.85,1588348360,296.15,20,88,6.22
magadan,2123628,RU,59.57,150.8,1588348362,271.39,91,94,8.02
baruun-urt,2032614,MN,46.68,113.28,1588348363,289.3,43,21,4.23
umm kaddadah,364933,SD,13.6,26.69,1588348364,306.92,0,7,3.94
hurghada,361291,EG,27.26,33.81,1588348365,305.15,0,18,1.5
waling,1282616,NP,27.98,83.77,1588348366,291.86,100,59,1.06
hami,1529484,CN,42.8,93.45,1588348368,294.47,100,23,8.85
opaka,728631,BG,43.45,26.17,1588348369,294.15,100,60,1.5
geraldton,2070998,AU,-28.77,114.6,1588348370,290.15,0,29,5.7
teknaf,1185095,BD,20.86,92.31,1588348371,299.78,0,73,1.65
north bend,5742974,US,43.41,-124.22,1588348250,281.16,75,93,3.1
raudeberg,3146487,NO,61.99,5.14,1588348374,278.71,100,91,4.02
tiarei,4033356,PF,-17.53,-149.33,1588348375,298.15,20,83,1.0
san vicente,3428068,AR,-26.62,-54.13,1588348376,290.78,99,84,0.92
auki,2109701,SB,-8.77,160.7,1588348377,299.53,64,84,1.88
port blair,1259385,IN,11.67,92.75,1588348281,300.98,79,79,2.93
fortuna,5563839,US,40.6,-124.16,1588348380,283.5,1,100,3.6
birjand,140463,IR,32.87,59.22,1588348381,296.15,20,23,3.1
iquique,3887127,CL,-20.22,-70.14,1588348382,294.15,75,60,3.6
altamont,5711149,US,42.21,-121.74,1588348383,278.88,1,65,1.73
agadez,2448083,NE,19.75,10.25,1588348384,313.73,1,6,4.04
jiayuguan,1280957,CN,39.82,98.3,1588348386,290.72,25,23,1.61
flinders,6255012,AU,-34.58,150.86,1588348387,285.7,43,63,1.79
nuevo progreso,3522526,MX,23.17,-97.95,1588348388,301.78,0,59,4.47
watsa,204283,CD,3.04,29.54,1588348389,294.59,95,70,0.86
los angeles,5368361,US,34.05,-118.24,1588348228,291.46,20,72,1.59
mokrousovo,1498511,RU,55.81,66.77,1588348392,280.98,19,61,3.84
saint-joseph,6690296,RE,-21.37,55.62,1588348393,296.8,90,73,1.5
shingu,1847947,JP,33.73,135.98,1588348394,287.45,0,81,3.19
adana,325361,TR,36.98,35.29,1588348395,287.74,75,100,1.5
mitsamiouli,921786,KM,-11.38,43.28,1588348396,301.27,86,75,4.25
aberdeen,2657832,GB,57.14,-2.1,1588348297,286.26,75,54,4.1
ixtapa,4004293,MX,20.7,-105.2,1588348399,297.99,20,73,2.02
kwinana,2068079,AU,-32.25,115.77,1588348400,288.58,0,44,2.6
lumberton,4477525,US,34.62,-79.01,1588348401,290.35,75,52,6.2
salamiyah,164947,SY,35.01,37.05,1588348402,291.36,0,50,8.6
coos bay,5720495,US,43.37,-124.22,1588348403,281.18,75,93,3.1
lata,2738381,PT,40.16,-8.33,1588348405,292.59,98,81,2.68
haapiti,4034438,PF,-17.57,-149.87,1588348406,298.15,20,83,1.0
munai,1699100,PH,7.98,124.06,1588348407,294.57,89,75,1.15
hamilton,4513583,US,39.18,-84.53,1588348408,284.09,90,76,4.1
linhares,3458498,BR,-19.39,-40.07,1588348409,304.07,0,39,2.13
kawalu,1640902,ID,-7.38,108.21,1588348410,296.37,98,84,0.26
poya,2138522,NC,-21.35,165.15,1588348412,296.52,15,83,2.95
llanes,3118304,ES,43.42,-4.75,1588348413,292.87,52,85,3.94
bozova,320581,TR,37.36,38.53,1588348414,286.15,75,87,2.76
antalaha,1071296,MG,-14.9,50.28,1588348415,297.36,100,81,4.45
lorengau,2092164,PG,-2.02,147.27,1588348416,300.54,62,78,1.85
ballina,2177069,AU,-28.87,153.57,1588348417,285.82,0,58,6.2
kajiado,195298,KE,-1.85,36.78,1588348419,295.15,75,68,5.1
spirit river,6153766,CA,55.78,-118.84,1588348420,279.74,40,51,5.7
launceston,2160517,AU,-41.45,147.17,1588348394,279.44,90,81,6.7
safaga,358620,EG,26.73,33.94,1588348423,305.15,0,18,1.5
vila velha,3445026,BR,-20.33,-40.29,1588348273,302.96,0,40,3.1
umm lajj,100926,SA,25.02,37.27,1588348425,297.54,0,64,2.11
baoning,1992517,CN,25.34,110.03,1588348426,295.15,90,100,1.11
hohhot,2036892,CN,40.81,111.65,1588348428,290.15,2,20,3.0
la asuncion,3480908,VE,11.03,-63.86,1588348429,303.15,97,62,9.8
egvekinot,4031742,RU,66.32,-179.17,1588348430,263.33,82,87,2.54
strezhevoy,1490796,RU,60.73,77.59,1588348431,276.15,90,93,2.0
guerrero negro,4021858,MX,27.98,-114.06,1588348432,292.22,85,71,2.74
omboue,2396853,GA,-1.57,9.26,1588348433,300.91,92,82,4.46
pimentel,3693584,PE,-6.84,-79.93,1588348435,299.15,0,57,1.0
juxtlahuaca,3530886,MX,17.43,-99.15,1588348436,305.0,85,23,1.35
vestmannaeyjar,3412093,IS,63.44,-20.27,1588348437,278.13,54,71,1.31
